"epoch","LSTM_bidirectional_long_run - _step","LSTM_bidirectional_long_run - _step__MIN","LSTM_bidirectional_long_run - _step__MAX","LSTM_bidirectional_long_run - loss/val_epoch","LSTM_bidirectional_long_run - loss/val_epoch__MIN","LSTM_bidirectional_long_run - loss/val_epoch__MAX","LSTM_bidirectional_long_run - loss/train_epoch","LSTM_bidirectional_long_run - loss/train_epoch__MIN","LSTM_bidirectional_long_run - loss/train_epoch__MAX"
"0","374.3333333333333","224","450","0.7701517343521118","0.6161172389984131","0.9241862297058105","0.8877319097518921","0.8877319097518921","0.8877319097518921"
"1","825.6666666666666","675","902","0.36240699887275696","0.26074257493019104","0.4640714228153229","0.4738410711288452","0.4738410711288452","0.4738410711288452"
"2","1277.3333333333333","1127","1353","0.20126017928123474","0.20068944990634918","0.2018309086561203","0.2262711524963379","0.2262711524963379","0.2262711524963379"
"3","1728.6666666666667","1578","1805","0.16146139800548553","0.15886718034744263","0.16405561566352844","0.17952103912830353","0.17952103912830353","0.17952103912830353"
"4","2180.3333333333335","2030","2256","0.14776014536619186","0.1315135508775711","0.16400673985481262","0.1604413390159607","0.1604413390159607","0.1604413390159607"
"5","2631.6666666666665","2481","2708","0.14169221371412277","0.14102579653263092","0.14235863089561462","0.14127199351787567","0.14127199351787567","0.14127199351787567"
"6","3083.3333333333335","2933","3159","0.13115187361836433","0.12119301408529282","0.14111073315143585","0.13280059397220612","0.13280059397220612","0.13280059397220612"
"7","3534.6666666666665","3384","3611","0.12624723091721535","0.1241518184542656","0.1283426433801651","0.13170473277568817","0.13170473277568817","0.13170473277568817"
"8","3986.3333333333335","3836","4062","0.12168176844716072","0.12044329941272736","0.12292023748159409","0.12472947686910629","0.12472947686910629","0.12472947686910629"
"9","4437.666666666667","4287","4514","0.12682434916496277","0.1139950156211853","0.13965368270874023","0.12491345405578613","0.12491345405578613","0.12491345405578613"
"10","4889.333333333333","4739","4965","0.09994488954544067","0.09931688010692596","0.10057289898395538","0.09810620546340942","0.09810620546340942","0.09810620546340942"
"11","5340.666666666667","5190","5417","0.09674745053052902","0.09596215188503265","0.09753274917602539","0.0932743176817894","0.0932743176817894","0.0932743176817894"
"12","5792.333333333333","5642","5868","0.0956343337893486","0.09536466002464294","0.09590400755405426","0.09045720845460892","0.09045720845460892","0.09045720845460892"
"13","6243.666666666667","6093","6320","0.09218882024288177","0.0919947549700737","0.09238288551568985","0.08816058188676834","0.08816058188676834","0.08816058188676834"
"14","6695.333333333333","6545","6771","0.0926705077290535","0.09253701567649841","0.09280399978160858","0.08692403882741928","0.08692403882741928","0.08692403882741928"
"15","7146.666666666667","6996","7223","0.09126653149724007","0.09120465815067291","0.09132840484380722","0.08539153635501862","0.08539153635501862","0.08539153635501862"
"16","7598.333333333333","7448","7674","0.0899786502122879","0.0897759348154068","0.090181365609169","0.08426398783922195","0.08426398783922195","0.08426398783922195"
"17","8049.666666666667","7899","8126","0.09050215780735016","0.0887923315167427","0.09221198409795761","0.08354499936103821","0.08354499936103821","0.08354499936103821"
"18","8501.333333333334","8351","8577","0.08976610749959946","0.08894681185483932","0.09058540314435959","0.08218470960855484","0.08218470960855484","0.08218470960855484"
"19","8952.666666666666","8802","9029","0.08984044194221497","0.08872362226247787","0.09095726162195206","0.08171828836202621","0.08171828836202621","0.08171828836202621"
"20","9404.333333333334","9254","9480","0.08732976391911507","0.08729222416877747","0.08736730366945267","0.07708903402090073","0.07708903402090073","0.07708903402090073"
"21","9855.666666666666","9705","9932","0.08714453876018524","0.08712350577116013","0.08716557174921036","0.07616309076547623","0.07616309076547623","0.07616309076547623"
"22","10307.333333333334","10157","10383","0.08747519180178642","0.08739198744297028","0.08755839616060257","0.07572333514690399","0.07572333514690399","0.07572333514690399"
"23","10758.666666666666","10608","10835","0.08796350285410881","0.08773615956306458","0.08819084614515305","0.07522972673177719","0.07522972673177719","0.07522972673177719"
"24","11210.333333333334","11060","11286","0.08777733519673347","0.08725550025701523","0.08829917013645172","0.07488550245761871","0.07488550245761871","0.07488550245761871"
"25","11661.666666666666","11511","11738","0.08754464238882065","0.08750912547111511","0.08758015930652618","0.07456209510564804","0.07456209510564804","0.07456209510564804"
"26","12113.333333333334","11963","12189","0.0883091613650322","0.0874939113855362","0.0891244113445282","0.07409538328647614","0.07409538328647614","0.07409538328647614"
"27","12564.666666666666","12414","12641","0.08839407935738564","0.08775267004966736","0.08903548866510391","0.07376041263341904","0.07376041263341904","0.07376041263341904"
"28","13016.333333333334","12866","13092","0.08800934627652168","0.08737627416849136","0.088642418384552","0.07346455007791519","0.07346455007791519","0.07346455007791519"
"29","13467.666666666666","13317","13544","0.0883912518620491","0.08819029480218887","0.08859220892190933","0.07319027930498123","0.07319027930498123","0.07319027930498123"