"epoch","transformer_db_false_plateau_smaller - _step","transformer_db_false_plateau_smaller - _step__MIN","transformer_db_false_plateau_smaller - _step__MAX","transformer_db_false_plateau_smaller - loss/val_epoch","transformer_db_false_plateau_smaller - loss/val_epoch__MIN","transformer_db_false_plateau_smaller - loss/val_epoch__MAX","transformer_db_false_plateau_smaller - loss/train_epoch","transformer_db_false_plateau_smaller - loss/train_epoch__MIN","transformer_db_false_plateau_smaller - loss/train_epoch__MAX"
"0","374.3333333333333","224","450","0.6897749900817871","0.6896086931228638","0.6899412870407104","0.7236936688423157","0.7236936688423157","0.7236936688423157"
"1","825.6666666666666","675","902","0.5948939323425293","0.5759498476982117","0.6138380169868469","0.6295782923698425","0.6295782923698425","0.6295782923698425"
"2","1277.3333333333333","1127","1353","0.5604368448257446","0.5481222867965698","0.5727514028549194","0.579767644405365","0.579767644405365","0.579767644405365"
"3","1728.6666666666667","1578","1805","0.5295211374759674","0.5264288783073425","0.5326133966445923","0.5539252758026123","0.5539252758026123","0.5539252758026123"
"4","2180.3333333333335","2030","2256","0.5136722922325134","0.5097563862800598","0.517588198184967","0.5346683859825134","0.5346683859825134","0.5346683859825134"
"5","2631.6666666666665","2481","2708","0.5000443160533905","0.4844643473625183","0.5156242847442627","0.5175220370292664","0.5175220370292664","0.5175220370292664"
"6","3083.3333333333335","2933","3159","0.471304327249527","0.4628939926624298","0.47971466183662415","0.4876643717288971","0.4876643717288971","0.4876643717288971"
"7","3534.6666666666665","3384","3611","0.4300227165222168","0.4294857382774353","0.4305596947669983","0.4517860412597656","0.4517860412597656","0.4517860412597656"
"8","3986.3333333333335","3836","4062","0.4081971049308777","0.4017072319984436","0.41468697786331177","0.42657271027565","0.42657271027565","0.42657271027565"
"9","4437.666666666667","4287","4514","0.3985570818185806","0.38547375798225403","0.4116404056549072","0.40760132670402527","0.40760132670402527","0.40760132670402527"
"10","4889.333333333333","4739","4965","0.36797861754894257","0.3630731403827667","0.3728840947151184","0.3897669315338135","0.3897669315338135","0.3897669315338135"
"11","5340.666666666667","5190","5417","0.3513535261154175","0.3457721769809723","0.35693487524986267","0.37488359212875366","0.37488359212875366","0.37488359212875366"
"12","5792.333333333333","5642","5868","0.34902407228946686","0.34069061279296875","0.35735753178596497","0.36700406670570374","0.36700406670570374","0.36700406670570374"
"13","6243.666666666667","6093","6320","0.3361600935459137","0.3280019164085388","0.3443182706832886","0.3513122797012329","0.3513122797012329","0.3513122797012329"
"14","6695.333333333333","6545","6771","0.32170815765857697","0.3188856244087219","0.324530690908432","0.3383224606513977","0.3383224606513977","0.3383224606513977"
"15","7146.666666666667","6996","7223","0.3248075246810913","0.32035115361213684","0.3292638957500458","0.3326927423477173","0.3326927423477173","0.3326927423477173"
"16","7598.333333333333","7448","7674","0.3043380677700043","0.3003275692462921","0.30834856629371643","0.3199024498462677","0.3199024498462677","0.3199024498462677"
"17","8049.666666666667","7899","8126","0.30163368582725525","0.2991429269313812","0.3041244447231293","0.3104992210865021","0.3104992210865021","0.3104992210865021"
"18","8501.333333333334","8351","8577","0.30902712047100067","0.29763826727867126","0.3204159736633301","0.30402183532714844","0.30402183532714844","0.30402183532714844"
"19","8952.666666666666","8802","9029","0.3061901330947876","0.27862825989723206","0.33375200629234314","0.2960318326950073","0.2960318326950073","0.2960318326950073"
"20","9404.333333333334","9254","9480","0.28561440110206604","0.2752056121826172","0.2960231900215149","0.28907498717308044","0.28907498717308044","0.28907498717308044"
"21","9855.666666666666","9705","9932","0.29185330867767334","0.2755090892314911","0.3081975281238556","0.2799021899700165","0.2799021899700165","0.2799021899700165"
"22","10307.333333333334","10157","10383","0.2687751203775406","0.2674151062965393","0.27013513445854187","0.28495824337005615","0.28495824337005615","0.28495824337005615"
"23","10758.666666666666","10608","10835","0.2581799626350403","0.25508615374565125","0.2612737715244293","0.2711856961250305","0.2711856961250305","0.2711856961250305"
"24","11210.333333333334","11060","11286","0.2575581669807434","0.25319236516952515","0.26192396879196167","0.2671307325363159","0.2671307325363159","0.2671307325363159"
"25","11661.666666666666","11511","11738","0.2612939029932022","0.2583314776420593","0.2642563283443451","0.2590135633945465","0.2590135633945465","0.2590135633945465"
"26","12113.333333333334","11963","12189","0.26806479692459106","0.24821391701698303","0.2879156768321991","0.2566051781177521","0.2566051781177521","0.2566051781177521"
"27","12564.666666666666","12414","12641","0.24516066163778305","0.24362269043922424","0.24669863283634186","0.2507815659046173","0.2507815659046173","0.2507815659046173"
"28","13016.333333333334","12866","13092","0.2531190514564514","0.252799928188324","0.25343817472457886","0.24911801517009735","0.24911801517009735","0.24911801517009735"
"29","13467.666666666666","13317","13544","0.2459370270371437","0.23584239184856415","0.25603166222572327","0.24466288089752197","0.24466288089752197","0.24466288089752197"